latitude,longitude,population
38.26889,140.87195,1063103
38.25759,140.8667,1063103
55.15402,61.42915,1062919
40.09361,113.29139,1052678
41.69411,44.83368,1049498
31.64615,120.74221,1047700
24.1469,120.6839,1040725
10.01531,77.482,1034724
34.33778,108.70261,1034081
54.74306,55.96779,1033338
48.45,34.98333,1032822
37.43861,127.13778,1031935
-22.90556,-47.06083,1031554
23.16697,79.95006,1030168
22.57688,88.31857,1027672
32.62639,116.99694,1027655
48.023,37.80224,1024700
53.33306,-6.24889,1024027
51.05011,-114.08529,1019942
50.85045,4.34878,1019022
19.87757,75.34226,1016441
48.71939,44.50183,1011417
-22.75917,-43.45111,1002118
23.5418,116.36581,1001985
46.47747,30.73262,1001558
35.99502,119.40259,1000000
18.53017,73.85263,1000000
33.83333,130.83333,997536
17.67152,75.91044,997281
38.85111,115.49028,995652
14.64072,-90.51327,994938
41.28861,123.765,987717
20.72356,-103.38479,987516
52.48142,-1.89983,984333
58.01046,56.25017,982419
34.08842,74.80298,975857
11.11128,7.7227,975153
12.13282,-86.2504,973087
-33.91799,25.57007,967677
34.03715,-4.9998,964891
50.93333,6.95,963395
35.53722,129.31667,962865
30.73629,76.7884,960787
11.00555,76.96612,959823
40.85631,14.24641,959470
-9.66583,-35.73528,954991
10.39972,-75.51444,952024
31.77359,119.95401,949018
24.49258,39.58572,946697
37.33939,-121.89496,945942
6.30054,-10.7969,939524
17.99702,-76.79358,937700
36.19257,44.01062,932800
56.01839,92.86717,927200
19.745,96.12972,925000
26.26841,73.00594,921476
35.60472,140.12333,919729
-2.52972,-44.30278,917237
9.91735,78.11962,909908
34.0531,-6.79846,903485
33.97444,116.79167,903039
-17.3895,-66.1568,900414
5.41613,-4.0159,900000
33.30563,44.18477,900000
34.7986,114.30742,900000
42.87,74.59,900000
34.6401,50.8764,900000
26.1844,91.7458,899094
5.10658,7.36667,897560
33.73847,113.30119,889675
26.22983,78.17337,882458
47.34088,123.96045,882364
3.03333,101.45,879867
-32.89084,-68.82717,876884
37.87135,32.48464,875530
-6.13603,23.58979,874761
16.51928,80.63049,874587
14.76457,-17.39071,874062
45.07049,7.68682,870456
12.29791,76.63925,868313
27.99942,120.66682,865672
51.54056,46.00861,863725
14.0818,-87.20681,850848
37.49889,126.78306,850731
51.67204,39.1843,848752
23.34777,85.33856,846454
19.47851,-99.23963,846185
47.90771,106.88324,844818
10.99081,104.78498,843931
31.31901,48.6842,841145
-16.39889,-71.535,841130
-0.94924,100.35427,840352
15.34776,75.13378,840214
31.63416,-7.99994,839296
3.15,101.53333,833571
39.76838,-86.15804,829718
30.33218,-81.65565,821784
-22.78556,-43.31167,818329
9.92849,8.89212,816824
39.46975,-0.37739,814208
8.49664,4.54214,814192
-12.05659,-77.11814,813264
-16.5,-68.15,812799
45.41117,-75.69812,812129
10.07389,-69.32278,809490
28.63528,-106.08889,809232
37.77493,-122.41942,805235
22.81667,108.31667,803788
8.484,-13.22994,802639
1.4655,103.7578,802489
31.76904,35.21633,801000
-5.42544,105.25803,800348
-6.59444,106.78917,800000
45.81313,15.97753,800000
-4.05466,39.66359,799668
10.31672,123.89071,798634
23.61387,58.5922,797000
47.82289,35.19031,796217
43.29695,5.38107,794811
32.07275,36.08796,792665
39.9179,32.86268,792189
30.26715,-97.74306,790390
39.96118,-82.99879,787033
36.76639,3.47717,786499
31.32556,75.57917,785178
8.4855,76.94924,784153
34.58333,135.46667,782339
36.09944,114.32889,781129
-26.82414,-65.2226,781023
11.65117,78.15867,778396
10.8155,78.69651,775484
34.72682,36.72339,775404
40.81056,111.65222,774477
13.51366,2.1098,774235
22.99083,120.21333,771235
30.01556,120.87111,770000
51.75,19.46667,768755
26.43442,50.10326,768602
36.62554,101.75739,767531
34.3838,47.0553,766706
25.18254,75.83907,763088
-5.795,-35.20944,763043
20.27241,85.83385,762243
39.93167,119.58833,759718
26.88946,112.61888,759602
36.90812,30.69556,758188
50.06143,19.93658,755050
27.88334,78.07475,753207
16.06778,108.22083,752493
-29.61679,30.39278,750845
6.13748,1.21227,749700
-8.11599,-79.02998,747450
-7.9797,112.6304,746716
8.35122,-62.64102,746535
28.34702,79.42193,745435
-1.94995,30.05885,745261
-5.08917,-42.80194,744512
35.30889,113.86722,743601
-23.69389,-46.565,743372
47.35118,130.30012,743307
56.946,24.10589,742572
52.37403,4.88969,741636
32.72541,-97.32085,741206
7.85257,3.93125,736072
30.199,67.00971,733675
35.22709,-80.84313,731424
-20.44278,-54.64639,729151
37.95,58.38333,727700
19.35867,-99.20329,727034
34.37002,73.47082,725000
25.67678,-100.25646,724921
41.03903,28.85671,724270
35.56496,45.4329,723170
7.89391,-72.50782,721398
28.83893,78.77684,721139
12.10672,15.0444,721081
39.50972,116.69472,720119
32.97944,114.02944,720000
37.47649,121.44081,719332
49.83826,24.02324,717803
20.97537,-89.61696,717175
19.54005,-99.19538,715767
42.33143,-83.04575,713777
53.55014,-113.46871,712391
35.82194,127.14889,711424
27.83333,113.15,709358
3.04384,101.58062,708296
19.30023,73.05881,707035
0.53333,101.45,703956
37.38283,-5.97317,703206
53.5303,49.3461,702879
-8.18028,-35.00139,702621
34.97695,138.38306,701561
18.5,-70,701269
24.374,88.60114,700133
-1.24204,116.89419,700000
35.20889,111.73861,699514
-20.15,28.58333,699385
45.81444,15.97798,698966
30.42018,-9.59815,698310
43.84864,18.35644,696731
-34.92145,-57.95453,694167
36.81897,10.16579,693210
40.81,114.87944,692602
6.36536,2.41833,690584
29.34162,104.77689,689961
42.01556,121.65889,689050
6.44258,7.5022,688862
35.76727,-5.79975,688356
30.24706,115.04814,688090
41.27194,123.17306,687890
32.80589,130.69181,680423
21.23333,81.63333,679995
6.11278,125.17167,679588
38.53575,68.77905,679400
-23.5325,-46.79167,677856
22.14982,-100.97916,677704
-25.96222,32.45889,675422
24.79032,-107.38782,675000
41.65606,-0.87734,674317
26.75479,83.37235,674246
27.85,112.9,674189
4.5841,101.0829,673318
43.5789,-79.6583,668549
35.70506,115.01409,666322
32.03028,120.87472,666251
44.58333,129.6,665915
37.97945,23.71622,664046
-23.66389,-46.53833,662373
18.08581,-15.9785,661400
-4.77609,11.86352,659084
21.88234,-102.28259,658179
47.90966,33.38044,652380
16.86336,-99.8901,652136
-7.115,-34.86306,650883
37.32361,126.82194,650728
32.11486,20.06859,650629
50.11552,8.68417,650000
45.04484,38.97603,649851
25.28194,110.28639,649352
31.75872,-106.48693,649121
38.13205,13.33561,648260
6.93194,79.84778,648034
35.14953,-90.04898,646889
-13.96692,33.78725,646750
35.69111,-0.64167,645984
37.91363,40.21721,644763
14.5243,121.0792,644473
35.08676,-90.05676,641608
54.32824,48.38657,640680
33.51667,73.91667,640000
34.66167,133.935,639652
21.28145,110.34271,637790
29.07694,48.08389,637411
-7.78278,110.36083,636660
43.76681,-79.4163,636000
47.00556,28.8575,635994
51.1,17.03333,634893
36.63722,127.48972,634596
37.3925,126.92694,634367
35.40417,8.12417,634332
32.21086,119.45508,632552
49.8844,-97.14704,632063
40.12917,124.39472,631973
56.84976,53.20448,631038
-8.11278,-35.01472,630008
24.8,113.58333,628749
33.3575,120.1573,628441
19.3467,-99.16174,628063
-19.93167,-44.05361,627123
20.58806,-100.38806,626495
21.21667,81.43333,625138
41.18806,122.04944,625040
11.58901,43.14503,623891
25.42321,-101.0053,621250
34.31417,47.065,621100
39.29038,-76.61219,620961
-21.1775,-47.81028,619746
14.79781,42.95452,617871
42.35843,-71.05977,617594
14.58691,121.0614,617301
22.80278,86.18545,616338
20.04583,110.34167,615835
13.57952,44.02091,615222
-23.17944,-45.88694,613764
32.49069,119.90812,612356
37.06306,114.49417,611739
55.86515,-4.25763,610268
19.23496,72.85976,609617
47.60621,-122.33207,608660
19.29707,-99.16787,607545
57.62987,39.87368,606730
